Order Date,Customer Name,State,Category,Sub-Category,Product Name,Sales,Quantity,Profit
2024-01-23,Anay Shanker,West Bengal,Office Supplies,Binders,White Binder,2542.82,2,595.32
2025-01-16,Mamooty Boase,Bihar,Office Supplies,Storage,File Cabinet,1410.23,4,103.54
2025-05-16,Parinaaz Shanker,Madhya Pradesh,Furniture,Chairs,Mesh Back Chair,5032.46,4,992.99
2023-07-18,Kiara Kakar,Rajasthan,Furniture,Tables,Adjustable Table,4601.35,3,477.75
2023-12-21,Divij Chopra,Rajasthan,Technology,Phones,iPhone 14,1923.1,1,261.52
2024-12-31,Jhanvi Chaudhary,Madhya Pradesh,Technology,Phones,Realme GT,4870.96,1,704.5
2024-09-23,Madhup Kapur,Bihar,Office Supplies,Art,Sketch Pen Set,8913.87,3,2015.81
2023-06-29,Zoya Virk,Delhi,Furniture,Tables,Office Desk,8718.24,2,1264.42
2024-03-14,Rasha Kakar,Gujarat,Technology,Copiers,Xerox Pro,3616.9,3,422.25
2025-02-06,Indrans Chokshi,Madhya Pradesh,Office Supplies,Binders,White Binder,1968.66,2,285.19
2024-04-14,Ehsaan Batra,Gujarat,Office Supplies,Storage,File Cabinet,1299.43,1,75.4
2024-03-17,Taimur Vaidya,Delhi,Technology,Machines,Shredder,9166.11,2,1758.01
2025-01-10,Zara Bains,Uttar Pradesh,Office Supplies,Art,Paint Brush,17785.92,4,3747.72
2025-06-09,Heer Bhatia,Tamil Nadu,Furniture,Bookcases,Wooden Bookcase,13935.45,5,3299.27
2024-02-06,Dhanush Majumdar,Gujarat,Technology,Laptops,Lenovo ThinkPad,9974.33,2,843.66
2024-12-22,Kashvi Char,Delhi,Technology,Phones,iPhone 14,6423.48,2,1593.15
2023-12-18,Azad Sahota,Rajasthan,Technology,Laptops,HP Pavilion,12241.06,4,2044.41
2023-12-21,Dhanush Varma,Delhi,Technology,Laptops,HP Pavilion,19021.07,5,4605.95
2024-06-10,Vaibhav Dewan,Rajasthan,Technology,Phones,OnePlus Nord,4755.75,2,1371.82
2024-03-25,Ishaan Goyal,Karnataka,Office Supplies,Art,Sketch Pen Set,22903.07,5,6129.54
2024-12-20,Oorja Deol,Karnataka,Technology,Laptops,Dell Inspiron,11580.16,3,2140.53
2023-11-03,Mahika Ravi,Uttar Pradesh,Office Supplies,Binders,Heavy-Duty Binder,736.97,1,103.72
2024-04-13,Ishaan Kashyap,Tamil Nadu,Technology,Accessories,Phone Cover,23726.79,5,1694.41
2024-08-29,Navya Sankaran,Karnataka,Technology,Phones,Samsung Galaxy S22,18979.49,4,1732.48
2025-04-08,Piya Gaba,Tamil Nadu,Office Supplies,Storage,Plastic Organizer,19126.36,5,4254.98
2023-07-18,Manikya Tara,Gujarat,Office Supplies,Art,Canvas Pad,18072.59,4,2943.51
2023-08-14,Yakshit Desai,Gujarat,Furniture,Tables,Study Table,3023.88,1,325.15
2025-01-01,Jiya Vora,Maharashtra,Furniture,Chairs,Executive Chair,1047.04,2,60.57
2024-07-15,Lakshit Sagar,West Bengal,Technology,Phones,Samsung Galaxy S22,4913.35,4,408.19
2023-10-12,Nayantara Karnik,Tamil Nadu,Office Supplies,Storage,Plastic Organizer,16303.94,4,1591.3
2025-01-22,Hiran Dasgupta,Rajasthan,Furniture,Furnishings,Cushions,9766.87,4,2268.54
2024-05-21,Siya Master,Rajasthan,Office Supplies,Binders,White Binder,12128.53,3,937.74
2023-10-09,Taran Choudhary,Uttar Pradesh,Furniture,Tables,Adjustable Table,4450.06,2,532.39
2023-07-30,Divij Shroff,Madhya Pradesh,Furniture,Chairs,Ergo Chair,442.82,1,132.77
2023-10-26,Indrans Ratti,Karnataka,Furniture,Chairs,Mesh Back Chair,10124.31,4,1047.23
2024-04-17,Kimaya Balay,Rajasthan,Technology,Phones,Samsung Galaxy S22,4929.48,1,573.3
2024-08-07,Kimaya Kaur,Madhya Pradesh,Technology,Copiers,Canon CopyJet,3772.1,4,468.41
2023-07-02,Ishita Vasa,Maharashtra,Furniture,Chairs,Recliner,3004.05,1,527.85
2024-08-14,Pihu Wali,Madhya Pradesh,Office Supplies,Paper,A4 Paper 500 sheets,4286.44,1,287.75
2024-03-14,Tiya Rege,Delhi,Furniture,Tables,Office Desk,6909.17,5,1372.37
2023-10-24,Ritvik Kalla,Bihar,Office Supplies,Binders,Heavy-Duty Binder,13546.79,5,3842.91
2025-05-04,Aarav Sen,West Bengal,Furniture,Bookcases,Wooden Bookcase,3312.86,4,700.26
2023-11-09,Damini Singh,Maharashtra,Technology,Copiers,Xerox Pro,12726.26,4,2427.51
2025-04-07,Mishti Dixit,Madhya Pradesh,Furniture,Chairs,Mesh Back Chair,2507.37,3,344.14
2025-02-05,Indrans Grover,West Bengal,Furniture,Tables,Office Desk,4606.57,2,855.92
2025-06-09,Hrishita Sood,Madhya Pradesh,Technology,Laptops,HP Pavilion,14017.29,3,1063.87
2024-07-07,Kismat Edwin,Delhi,Furniture,Bookcases,Wooden Bookcase,4730.75,5,569.77
2025-05-06,Faiyaz Golla,West Bengal,Furniture,Bookcases,Wooden Bookcase,12724.76,5,3516.29
2023-12-28,Nakul Balakrishnan,West Bengal,Furniture,Chairs,Ergo Chair,217.02,1,52.69
2024-07-05,Dharmajan Setty,Uttar Pradesh,Office Supplies,Art,Paint Brush,17936.02,5,3411.91
2025-02-07,Tara Lata,Madhya Pradesh,Furniture,Chairs,Mesh Back Chair,4206.06,1,822.82
2024-06-27,Gokul Sahni,Maharashtra,Furniture,Furnishings,Curtains,5850.98,3,1657.42
2025-05-01,Prerak Lalla,Tamil Nadu,Furniture,Bookcases,Wooden Bookcase,1897.66,1,360.5
2025-01-30,Lakshit Madan,Tamil Nadu,Technology,Laptops,Dell Inspiron,9771.58,2,2469.21
2024-04-28,Riya Dugal,Gujarat,Technology,Phones,Samsung Galaxy S22,16202.91,4,4310.23
2024-07-30,Advika Yogi,Delhi,Furniture,Bookcases,Wooden Bookcase,17545.6,4,4643.41
